iter	R2	RMSE
0	0.05459026501	11.28488716
1	0.1066284167	10.96991475
2	0.1591786088	10.64238734
3	0.2081024727	10.3281296
4	0.2503236384	10.04902888
5	0.2872015992	9.798746989
6	0.3275594524	9.517308176
7	0.365721424	9.243303368
8	0.4022495398	8.973195817
9	0.435333743	8.721337712
10	0.4655974338	8.48440621
11	0.4915763595	8.275610723
12	0.5204750761	8.036977976
13	0.543329195	7.843119095
14	0.5681540638	7.62696238
15	0.5907278705	7.424945517
16	0.6111144339	7.237658669
17	0.6291344671	7.067981796
18	0.6472179421	6.893510324
19	0.6650240969	6.717288003
20	0.6800810367	6.564583511
21	0.6970663725	6.387941472
22	0.7118477514	6.23014554
23	0.7277846571	6.05540905
24	0.7428771036	5.885150337
25	0.7559970831	5.733036341
26	0.7670650356	5.601502408
27	0.7783407403	5.464244514
28	0.7899012434	5.319844362
29	0.7999885149	5.190565226
30	0.8095602678	5.064842756
31	0.8180019131	4.951315459
32	0.8272017486	4.824550508
33	0.8351956808	4.711633277
34	0.8421385459	4.611319727
35	0.8502413888	4.491413992
36	0.8566955834	4.393564165
37	0.8644824307	4.272528687
38	0.8718170567	4.155299249
39	0.8773732658	4.064243939
40	0.8829291083	3.971107545
41	0.8884558256	3.876239763
42	0.8925408905	3.804598254
43	0.8968839363	3.726922387
44	0.9007506963	3.656376591
45	0.9054434136	3.568889309
46	0.91022774	3.477428946
47	0.9138769758	3.406017081
48	0.9169421541	3.344856708
49	0.9202853696	3.276847302
50	0.923813721	3.203506186
51	0.9269292292	3.137321531
52	0.9298407913	3.074181655
53	0.9326374167	3.012288422
54	0.9352213944	2.953948935
55	0.9376194818	2.898756095
56	0.9403033588	2.835712084
57	0.9426243562	2.780039531
58	0.9452199372	2.716429566
59	0.9470984684	2.669447036
60	0.949333031	2.61245999
61	0.9514493581	2.557317638
62	0.9532306726	2.509965474
63	0.9550873974	2.459638584
64	0.956739486	2.413976419
65	0.9581400533	2.374578444
66	0.9597533813	2.328369413
67	0.9611177709	2.288562423
68	0.962527876	2.246680629
69	0.9637123947	2.210885953
70	0.9650332744	2.170274503
71	0.9662912687	2.130877037
72	0.9673481971	2.097204441
73	0.9685477724	2.058319985
74	0.9696128224	2.023169959
75	0.9705596671	1.991400187
76	0.9715024231	1.959255851
77	0.9723529565	1.929796586
78	0.9732933225	1.896693328
79	0.9741276553	1.866831327
80	0.9749563537	1.836690445
81	0.9757689143	1.806648323
82	0.9765625501	1.776815624
83	0.9773667158	1.746067281
84	0.978079416	1.718356404
85	0.978836814	1.688409201
86	0.9794852065	1.662343464
87	0.9800813513	1.638012159
88	0.9806594689	1.614066349
89	0.9811235741	1.594582781
90	0.9816063968	1.574057499
91	0.9820887424	1.5532817
92	0.9826300974	1.529628186
93	0.9831159385	1.508084401
94	0.9835939828	1.486581646
95	0.9840310355	1.466646882
96	0.9845171316	1.44415197
97	0.9849246364	1.425020408
98	0.9852710888	1.408550776
99	0.9855850428	1.393457939
100	0.9859085068	1.377735008
101	0.9862849681	1.359206983
102	0.9866371576	1.341641888
103	0.9869381474	1.326446
104	0.9872016627	1.312997687
105	0.9874978799	1.297714085
106	0.9878073336	1.281552881
107	0.9880608974	1.268157013
108	0.988327908	1.253896058
109	0.9885647385	1.241109891
110	0.9888332067	1.22645445
111	0.9890800876	1.212821151
112	0.9893076634	1.200116748
113	0.9895370069	1.18717613
114	0.9897526454	1.174878801
115	0.9899581055	1.163040969
116	0.9901809415	1.150064263
117	0.990362937	1.139356239
118	0.990570833	1.126999828
119	0.990758113	1.115751587
