iter	Passed	Remaining
0	2	1381
1	5	1280
2	7	1175
3	9	1130
4	12	1279
5	15	1236
6	17	1198
7	19	1175
8	20	1141
9	22	1110
10	24	1094
11	26	1084
12	28	1084
13	30	1067
14	32	1050
15	34	1039
16	36	1037
17	38	1035
18	40	1025
19	42	1015
20	44	1018
21	46	1015
22	48	1005
23	50	1001
24	52	992
25	53	983
26	55	976
27	57	968
28	59	960
29	60	952
30	62	946
31	64	938
32	66	937
33	68	933
34	70	930
35	71	927
36	74	931
37	76	929
38	78	923
39	79	919
40	81	916
41	83	914
42	85	910
43	87	905
44	89	906
45	91	903
46	93	899
47	95	895
48	97	893
49	99	892
50	101	890
51	103	892
52	106	895
53	108	894
54	110	890
55	112	890
56	114	887
57	115	883
58	117	881
59	120	882
60	122	879
61	123	875
62	125	871
63	127	868
64	129	867
65	131	865
66	133	862
67	135	863
68	137	861
69	139	859
70	141	855
71	145	866
72	147	864
73	150	863
74	152	862
75	153	859
76	155	855
77	157	852
78	160	853
79	162	850
80	163	847
81	165	844
82	168	846
83	170	843
84	171	839
85	174	839
86	176	838
87	178	835
88	181	837
89	183	835
90	185	832
91	187	829
92	188	826
93	190	824
94	192	821
95	194	819
96	196	816
97	199	816
98	200	813
99	202	810
100	204	808
101	206	806
102	208	803
103	210	801
104	212	800
105	214	798
106	216	795
107	218	792
108	220	790
109	222	787
110	223	784
111	226	783
112	228	781
113	230	779
114	232	776
115	234	775
116	236	774
117	238	771
118	240	768
119	242	766
120	244	766
121	246	764
122	248	762
123	250	759
124	252	758
125	255	757
126	258	759
127	261	758
128	264	759
129	267	761
130	270	763
131	273	762
132	276	762
133	279	762
134	281	760
135	284	761
136	287	761
137	290	761
138	293	762
139	296	762
140	299	763
141	302	763
142	305	763
143	309	765
144	312	764
145	314	763
146	318	764
147	321	765
148	324	765
149	327	763
150	330	763
151	333	764
152	337	765
153	341	766
154	344	766
155	348	767
156	350	766
157	353	764
158	356	764
159	359	763
160	363	765
161	365	763
162	370	766
163	374	767
164	378	768
165	381	766
166	384	766
167	387	766
168	390	764
169	392	762
170	395	760
171	397	757
172	400	756
173	402	754
174	404	751
175	406	749
176	410	748
177	413	747
178	416	746
179	419	745
180	421	742
181	424	741
182	426	738
183	428	736
184	431	734
185	433	732
186	436	730
187	439	728
188	440	725
189	443	724
190	445	721
191	448	719
192	450	716
193	452	713
194	454	711
195	456	708
196	459	706
197	461	704
198	464	702
199	466	699
200	467	696
201	471	695
202	473	692
203	475	689
204	477	686
205	479	684
206	482	683
207	486	682
208	488	680
209	490	676
210	491	673
211	493	671
212	496	668
213	498	665
214	500	663
215	502	660
216	504	657
217	506	654
218	508	652
219	510	650
220	512	646
221	514	644
222	516	641
223	518	638
224	520	636
225	522	633
226	524	630
227	526	628
228	528	625
229	530	623
230	532	620
231	534	617
232	536	614
233	538	612
234	540	609
235	542	607
236	544	604
237	546	601
238	548	598
239	550	596
240	551	593
241	553	590
242	555	587
243	557	585
244	559	582
245	561	579
246	563	577
247	565	574
248	567	571
249	569	569
250	571	567
251	574	565
252	576	562
253	579	561
254	581	559
255	584	557
256	586	554
257	588	552
258	591	550
259	593	548
260	596	545
261	598	543
262	600	541
263	603	539
264	606	537
265	607	534
266	609	532
267	611	529
268	613	527
269	616	525
270	618	522
271	620	520
272	624	519
273	627	517
274	629	514
275	632	513
276	634	511
277	636	508
278	638	506
279	641	504
280	645	502
281	646	500
282	649	498
283	651	495
284	653	492
285	656	491
286	658	488
287	660	486
288	662	483
289	665	481
290	667	479
291	669	476
292	672	475
293	674	472
294	676	470
295	679	468
296	681	465
297	683	463
298	684	460
299	687	458
300	689	456
301	691	453
302	694	451
303	696	448
304	698	446
305	700	443
306	702	441
307	705	439
308	707	437
309	711	435
310	713	433
311	715	431
312	719	429
313	721	427
314	723	424
315	726	423
316	729	421
317	731	418
318	734	416
319	736	414
320	738	411
321	741	409
322	743	407
323	745	404
324	747	402
325	749	400
326	751	397
327	752	394
328	754	392
329	756	389
330	758	387
331	760	384
332	762	382
333	765	380
334	767	377
335	768	375
336	771	372
337	773	370
338	775	368
339	776	365
340	779	363
341	782	361
342	784	358
343	786	356
344	788	354
345	790	351
346	792	349
347	794	347
348	796	344
349	798	342
350	800	339
351	803	337
352	805	335
353	807	333
354	810	330
355	812	328
356	813	325
357	815	323
358	817	320
359	819	318
360	821	316
361	823	313
362	825	311
363	827	309
364	829	306
365	831	304
366	833	301
367	835	299
368	837	297
369	839	294
370	841	292
371	843	290
372	844	287
373	847	285
374	848	282
375	850	280
376	852	278
377	854	275
378	856	273
379	858	270
380	859	268
381	861	266
382	864	264
383	866	261
384	868	259
385	870	257
386	872	254
387	875	252
388	877	250
389	879	248
390	881	245
391	883	243
392	885	241
393	887	238
394	889	236
395	891	234
396	893	231
397	895	229
398	897	227
399	898	224
400	900	222
401	902	220
402	904	217
403	906	215
404	908	213
405	911	210
406	912	208
407	914	206
408	916	203
409	918	201
410	920	199
411	922	197
412	924	194
413	926	192
414	928	190
415	930	187
416	932	185
417	934	183
418	937	181
419	939	178
420	941	176
421	943	174
422	944	171
423	946	169
424	948	167
425	950	165
426	952	162
427	954	160
428	956	158
429	958	156
430	960	153
431	962	151
432	963	149
433	966	146
434	968	144
435	970	142
436	972	140
437	974	137
438	976	135
439	977	133
440	979	131
441	981	128
442	983	126
443	985	124
444	988	122
445	989	119
446	991	117
447	993	115
448	995	113
449	997	110
450	999	108
451	1001	106
452	1004	104
453	1006	102
454	1008	99
455	1010	97
456	1012	95
457	1014	93
458	1016	90
459	1018	88
460	1020	86
461	1022	84
462	1024	81
463	1026	79
464	1028	77
465	1030	75
466	1032	72
467	1034	70
468	1036	68
469	1038	66
470	1039	64
471	1042	61
472	1044	59
473	1045	57
474	1048	55
475	1050	52
476	1051	50
477	1053	48
478	1055	46
479	1057	44
480	1059	41
481	1061	39
482	1062	37
483	1065	35
484	1067	33
485	1068	30
486	1071	28
487	1073	26
488	1074	24
489	1076	21
490	1079	19
491	1080	17
492	1082	15
493	1085	13
494	1087	10
495	1089	8
496	1090	6
497	1093	4
498	1094	2
499	1096	0
